time,n_positive,n_negative,injected_positive,injected_negative,recombination
6.695623371024e-05,1.332799721156e+08,9.438247045091e+07,1.009553055880e+06,1.009553055880e+06,1.036243286139e+05
6.726058022711e-05,1.335234757441e+08,9.435572822174e+07,1.005222893736e+06,1.005222893736e+06,1.036750812596e+05
6.756492674397e-05,1.337672600537e+08,9.433225803931e+07,1.008278535296e+06,1.008278535296e+06,1.037298611497e+05
6.786927326084e-05,1.340067793759e+08,9.430751717226e+07,1.006756475721e+06,1.006756475721e+06,1.037795715675e+05
6.817361977770e-05,1.342412517973e+08,9.428072577209e+07,1.004440629824e+06,1.004440629824e+06,1.038237996913e+05
6.847796629457e-05,1.344771125641e+08,9.425828492987e+07,1.008587304446e+06,1.008587304446e+06,1.038742800368e+05
6.878231281143e-05,1.347081829023e+08,9.423402649896e+07,1.006519946179e+06,1.006519946179e+06,1.039210903130e+05
6.908665932830e-05,1.349384916269e+08,9.421196466003e+07,1.008498477999e+06,1.008498477999e+06,1.039706715972e+05
6.939100584516e-05,1.351582478164e+08,9.418234797533e+07,1.000621118684e+06,1.000621118684e+06,1.039989027787e+05
6.969535236203e-05,1.353824745753e+08,9.416014329248e+07,1.007838279410e+06,1.007838279410e+06,1.040422534014e+05
6.999969887889e-05,1.356025506776e+08,9.413673464571e+07,1.006388076941e+06,1.006388076941e+06,1.040822182936e+05
7.030404539576e-05,1.358186182353e+08,9.411226450854e+07,1.005076239754e+06,1.005076239754e+06,1.041179831353e+05
7.060839191262e-05,1.360369428030e+08,9.409296382295e+07,1.010063331060e+06,1.010063331060e+06,1.041649035997e+05
7.091273842949e-05,1.362531114832e+08,9.407441711925e+07,1.010621558508e+06,1.010621558508e+06,1.042123345829e+05
7.121708494635e-05,1.364626680763e+08,9.405219063751e+07,1.006694299387e+06,1.006694299387e+06,1.042472854561e+05
7.152143146322e-05,1.366697718682e+08,9.403043582616e+07,1.006939224292e+06,1.006939224292e+06,1.042821067191e+05
7.182577798008e-05,1.368705506274e+08,9.400529284534e+07,1.003279087311e+06,1.003279087311e+06,1.043064308891e+05
7.213012449694e-05,1.370714634063e+08,9.398319423409e+07,1.006101911781e+06,1.006101911781e+06,1.043366542643e+05
7.243447101381e-05,1.372676812515e+08,9.395931900221e+07,1.004059463535e+06,1.004059463535e+06,1.043606580319e+05
